# bigram	class	base_weight	register	gate_rule
of the	functional	1.00	any	always
in the	functional	0.95	any	always
to the	functional	0.92	any	always
to be	functional	0.90	any	always
have to	functional	0.88	any	always
going to	functional	0.86	any	always
of course	lexicalized	0.80	any	always
in fact	lexicalized	0.78	any	always
kind of	lexicalized	0.75	informal	informal_mode
sort of	lexicalized	0.74	informal	informal_mode
for example	formal_discourse	0.70	formal	formal_context
in particular	formal_discourse	0.68	formal	formal_context
according to	formal_discourse	0.66	formal	formal_context
this suggests	formal_discourse	0.64	formal	formal_context
that indicates	formal_discourse	0.62	formal	formal_context
